SubNum,dist_to_change,IPI_Value,condition
12,2,275.0,M+S
12,3,160.0,M+S
12,4,180.0,M+S
13,-5,382.5,M+S
13,-4,230.0,M+S
13,-3,280.0,M+S
13,-2,290.0,M+S
13,-1,285.0,M+S
13,0,302.5,M+S
13,1,240.0,M+S
13,2,315.0,M+S
13,3,245.0,M+S
13,4,210.0,M+S
14,-5,315.0,M+S
14,-4,330.0,M+S
14,-3,310.0,M+S
14,-2,340.0,M+S
14,-1,315.0,M+S
14,0,350.0,M+S
14,1,305.0,M+S
14,2,340.0,M+S
14,3,305.0,M+S
14,4,320.0,M+S
1,-5,212.5,M+S (changed)
1,-4,255.0,M+S (changed)
1,-3,240.0,M+S (changed)
1,-2,265.0,M+S (changed)
1,-1,250.0,M+S (changed)
1,0,465.0,M+S (changed)
1,1,365.0,M+S (changed)
1,2,285.0,M+S (changed)
1,3,360.0,M+S (changed)
1,4,307.5,M+S (changed)
2,-5,265.0,M+S (changed)
2,-4,310.0,M+S (changed)
2,-3,280.0,M+S (changed)
2,-2,300.0,M+S (changed)
2,-1,295.0,M+S (changed)
2,0,482.5,M+S (changed)
2,1,342.5,M+S (changed)
2,2,335.0,M+S (changed)
2,3,365.0,M+S (changed)
2,4,362.5,M+S (changed)
4,-5,285.0,M+S (changed)
4,-4,300.0,M+S (changed)
4,-3,285.0,M+S (changed)
4,-2,310.0,M+S (changed)
4,-1,300.0,M+S (changed)
4,0,435.0,M+S (changed)
4,1,390.0,M+S (changed)
4,2,380.0,M+S (changed)
4,3,410.0,M+S (changed)
4,4,372.5,M+S (changed)
5,-5,225.0,M+S (changed)
5,-4,240.0,M+S (changed)
5,-3,237.5,M+S (changed)
5,-2,250.0,M+S (changed)
5,-1,260.0,M+S (changed)
5,0,325.0,M+S (changed)
5,1,375.0,M+S (changed)
5,2,277.5,M+S (changed)
5,3,320.0,M+S (changed)
5,4,300.0,M+S (changed)
6,-5,400.0,M+S (changed)
6,-4,385.0,M+S (changed)
6,-3,390.0,M+S (changed)
6,-2,415.0,M+S (changed)
6,-1,390.0,M+S (changed)
6,0,440.0,M+S (changed)
6,1,480.0,M+S (changed)
6,2,465.0,M+S (changed)
6,3,472.5,M+S (changed)
6,4,432.5,M+S (changed)
7,-5,177.5,M+S (changed)
7,-4,320.0,M+S (changed)
7,-3,260.0,M+S (changed)
7,-2,280.0,M+S (changed)
7,-1,455.0,M+S (changed)
7,0,510.0,M+S (changed)
7,1,550.0,M+S (changed)
7,2,472.5,M+S (changed)
7,3,390.0,M+S (changed)
7,4,375.0,M+S (changed)
9,-5,400.0,M+S (changed)
9,-4,450.0,M+S (changed)
9,-3,395.0,M+S (changed)
9,-2,435.0,M+S (changed)
9,-1,415.0,M+S (changed)
9,0,515.0,M+S (changed)
9,1,537.5,M+S (changed)
9,2,547.5,M+S (changed)
9,3,575.0,M+S (changed)
9,4,500.0,M+S (changed)
10,-5,360.0,M+S (changed)
10,-4,355.0,M+S (changed)
10,-3,355.0,M+S (changed)
10,-2,360.0,M+S (changed)
10,-1,365.0,M+S (changed)
10,0,465.0,M+S (changed)
10,1,445.0,M+S (changed)
10,2,465.0,M+S (changed)
10,3,475.0,M+S (changed)
10,4,490.0,M+S (changed)
11,-5,340.0,M+S (changed)
11,-4,390.0,M+S (changed)
11,-3,335.0,M+S (changed)
11,-2,400.0,M+S (changed)
11,-1,325.0,M+S (changed)
11,0,685.0,M+S (changed)
11,1,585.0,M+S (changed)
11,2,520.0,M+S (changed)
11,3,605.0,M+S (changed)
11,4,615.0,M+S (changed)
12,-5,190.0,M+S (changed)
12,-4,205.0,M+S (changed)
12,-3,152.5,M+S (changed)
12,-2,320.0,M+S (changed)
12,-1,150.0,M+S (changed)
12,0,642.5,M+S (changed)
12,1,245.0,M+S (changed)
12,2,372.5,M+S (changed)
12,3,337.5,M+S (changed)
12,4,280.0,M+S (changed)
13,-5,430.0,M+S (changed)
13,-4,235.0,M+S (changed)
13,-3,265.0,M+S (changed)
13,-2,315.0,M+S (changed)
13,-1,305.0,M+S (changed)
13,0,630.0,M+S (changed)
13,1,520.0,M+S (changed)
13,2,575.0,M+S (changed)
13,3,505.0,M+S (changed)
13,4,365.0,M+S (changed)
14,-5,315.0,M+S (changed)
14,-4,320.0,M+S (changed)
14,-3,320.0,M+S (changed)
14,-2,345.0,M+S (changed)
14,-1,310.0,M+S (changed)
14,0,397.5,M+S (changed)
14,1,370.0,M+S (changed)
14,2,342.5,M+S (changed)
14,3,410.0,M+S (changed)
14,4,320.0,M+S (changed)
