SubNum,dist_to_change,IPI_Value,condition
1,-5,295.0,S
1,-4,310.0,S
1,-3,310.0,S
1,-2,325.0,S
1,-1,337.5,S
1,0,350.0,S
1,1,340.0,S
1,2,330.0,S
1,3,340.0,S
1,4,315.0,S
2,-5,330.0,S
2,-4,362.5,S
2,-3,335.0,S
2,-2,370.0,S
2,-1,360.0,S
2,0,395.0,S
2,1,365.0,S
2,2,375.0,S
2,3,367.5,S
2,4,367.5,S
4,-5,315.0,S
4,-4,345.0,S
4,-3,340.0,S
4,-2,360.0,S
4,-1,387.5,S
4,0,385.0,S
4,1,405.0,S
4,2,380.0,S
4,3,415.0,S
4,4,370.0,S
5,-5,260.0,S
5,-4,300.0,S
5,-3,285.0,S
5,-2,310.0,S
5,-1,320.0,S
5,0,330.0,S
5,1,325.0,S
5,2,310.0,S
5,3,325.0,S
5,4,295.0,S
6,-5,435.0,S
6,-4,445.0,S
6,-3,440.0,S
6,-2,447.5,S
6,-1,450.0,S
6,0,455.0,S
6,1,470.0,S
6,2,427.5,S
6,3,475.0,S
6,4,410.0,S
7,-5,232.5,S
7,-4,535.0,S
7,-3,285.0,S
7,-2,545.0,S
7,-1,385.0,S
7,0,550.0,S
7,1,462.5,S
7,2,427.5,S
7,3,517.5,S
7,4,350.0,S
9,-5,472.5,S
9,-4,515.0,S
9,-3,495.0,S
9,-2,525.0,S
9,-1,517.5,S
9,0,555.0,S
9,1,545.0,S
9,2,520.0,S
9,3,552.5,S
9,4,510.0,S
10,-5,415.0,S
10,-4,460.0,S
10,-3,435.0,S
10,-2,480.0,S
10,-1,465.0,S
10,0,505.0,S
10,1,480.0,S
10,2,495.0,S
10,3,495.0,S
10,4,485.0,S
11,-5,420.0,S
11,-4,512.5,S
11,-3,455.0,S
11,-2,525.0,S
11,-1,530.0,S
11,0,535.0,S
11,1,530.0,S
11,2,530.0,S
11,3,530.0,S
11,4,527.5,S
12,-5,205.0,S
12,-4,390.0,S
12,-3,235.0,S
12,-2,390.0,S
12,-1,305.0,S
12,0,410.0,S
12,1,310.0,S
12,2,345.0,S
12,3,315.0,S
12,4,325.0,S
13,-5,367.5,S
13,-4,420.0,S
13,-3,397.5,S
13,-2,467.5,S
13,-1,510.0,S
13,0,472.5,S
13,1,545.0,S
13,2,395.0,S
13,3,650.0,S
13,4,340.0,S
14,-5,345.0,S
14,-4,350.0,S
14,-3,350.0,S
14,-2,355.0,S
14,-1,360.0,S
14,0,370.0,S
14,1,365.0,S
14,2,355.0,S
14,3,360.0,S
14,4,350.0,S
1,-5,227.5,M+S
1,-4,245.0,M+S
1,-3,225.0,M+S
1,-2,255.0,M+S
1,-1,240.0,M+S
1,0,275.0,M+S
1,1,225.0,M+S
1,2,235.0,M+S
1,3,222.5,M+S
1,4,190.0,M+S
2,-5,270.0,M+S
2,-4,290.0,M+S
2,-3,270.0,M+S
2,-2,290.0,M+S
2,-1,280.0,M+S
2,0,300.0,M+S
2,1,260.0,M+S
2,2,260.0,M+S
2,3,250.0,M+S
2,4,225.0,M+S
4,-5,280.0,M+S
4,-4,300.0,M+S
4,-3,285.0,M+S
4,-2,315.0,M+S
4,-1,300.0,M+S
4,0,335.0,M+S
4,1,300.0,M+S
4,2,315.0,M+S
4,3,300.0,M+S
4,4,285.0,M+S
5,-5,220.0,M+S
5,-4,235.0,M+S
5,-3,225.0,M+S
5,-2,235.0,M+S
5,-1,240.0,M+S
5,0,235.0,M+S
5,1,235.0,M+S
5,2,210.0,M+S
5,3,230.0,M+S
5,4,190.0,M+S
6,-5,390.0,M+S
6,-4,390.0,M+S
6,-3,385.0,M+S
6,-2,390.0,M+S
6,-1,385.0,M+S
6,0,385.0,M+S
6,1,370.0,M+S
6,2,345.0,M+S
6,3,370.0,M+S
6,4,305.0,M+S
7,-5,200.0,M+S
7,-4,302.5,M+S
7,-3,247.5,M+S
7,-2,307.5,M+S
7,-1,425.0,M+S
7,0,200.0,M+S
7,1,385.0,M+S
7,2,145.0,M+S
7,3,450.0,M+S
7,4,125.0,M+S
9,-5,395.0,M+S
9,-4,452.5,M+S
9,-3,400.0,M+S
9,-2,430.0,M+S
9,-1,415.0,M+S
9,0,447.5,M+S
9,1,445.0,M+S
9,2,405.0,M+S
9,3,475.0,M+S
9,4,410.0,M+S
10,-5,355.0,M+S
10,-4,355.0,M+S
10,-3,360.0,M+S
10,-2,360.0,M+S
10,-1,370.0,M+S
10,0,375.0,M+S
10,1,360.0,M+S
10,2,355.0,M+S
10,3,355.0,M+S
10,4,340.0,M+S
11,-5,335.0,M+S
11,-4,407.5,M+S
11,-3,340.0,M+S
11,-2,430.0,M+S
11,-1,360.0,M+S
11,0,410.0,M+S
11,1,345.0,M+S
11,2,375.0,M+S
11,3,345.0,M+S
11,4,340.0,M+S
12,-5,152.5,M+S
12,-4,200.0,M+S
12,-3,135.0,M+S
12,-2,285.0,M+S
12,-1,165.0,M+S
12,0,325.0,M+S
12,1,140.0,M+S
