SubNum,dist_to_change,IPI_Value,condition
1,-4,217.5,M+S (changed)
1,-3,180.0,M+S (changed)
1,-2,200.0,M+S (changed)
1,-1,185.0,M+S (changed)
1,0,255.0,M+S (changed)
1,1,215.0,M+S (changed)
1,2,227.5,M+S (changed)
1,3,225.0,M+S (changed)
1,4,215.0,M+S (changed)
2,-5,312.5,M+S (changed)
2,-4,365.0,M+S (changed)
2,-3,310.0,M+S (changed)
2,-2,355.0,M+S (changed)
2,-1,315.0,M+S (changed)
2,0,450.0,M+S (changed)
2,1,375.0,M+S (changed)
2,2,375.0,M+S (changed)
2,3,347.5,M+S (changed)
2,4,337.5,M+S (changed)
3,-5,170.0,M+S (changed)
3,-4,255.0,M+S (changed)
3,-3,155.0,M+S (changed)
3,-2,282.5,M+S (changed)
3,-1,195.0,M+S (changed)
3,0,550.0,M+S (changed)
3,1,167.5,M+S (changed)
3,2,380.0,M+S (changed)
3,3,247.5,M+S (changed)
3,4,292.5,M+S (changed)
4,-5,240.0,M+S (changed)
4,-4,255.0,M+S (changed)
4,-3,260.0,M+S (changed)
4,-2,267.5,M+S (changed)
4,-1,272.5,M+S (changed)
4,0,312.5,M+S (changed)
4,1,315.0,M+S (changed)
4,2,312.5,M+S (changed)
4,3,275.0,M+S (changed)
4,4,222.5,M+S (changed)
5,-5,225.0,M+S (changed)
5,-4,260.0,M+S (changed)
5,-3,220.0,M+S (changed)
5,-2,260.0,M+S (changed)
5,-1,235.0,M+S (changed)
5,0,530.0,M+S (changed)
5,1,280.0,M+S (changed)
5,2,330.0,M+S (changed)
5,3,280.0,M+S (changed)
5,4,190.0,M+S (changed)
6,-5,220.0,M+S (changed)
6,-4,205.0,M+S (changed)
6,-3,175.0,M+S (changed)
6,-2,210.0,M+S (changed)
6,-1,190.0,M+S (changed)
6,0,390.0,M+S (changed)
6,1,280.0,M+S (changed)
6,2,255.0,M+S (changed)
6,3,265.0,M+S (changed)
6,4,130.0,M+S (changed)
7,-5,520.0,M+S (changed)
7,-4,485.0,M+S (changed)
7,-3,495.0,M+S (changed)
7,-2,510.0,M+S (changed)
7,-1,500.0,M+S (changed)
7,0,645.0,M+S (changed)
7,1,495.0,M+S (changed)
7,2,625.0,M+S (changed)
7,3,532.5,M+S (changed)
7,4,567.5,M+S (changed)
8,-5,225.0,M+S (changed)
8,-4,222.5,M+S (changed)
8,-3,220.0,M+S (changed)
8,-2,205.0,M+S (changed)
8,-1,222.5,M+S (changed)
8,0,215.0,M+S (changed)
8,1,230.0,M+S (changed)
8,2,195.0,M+S (changed)
8,3,215.0,M+S (changed)
8,4,200.0,M+S (changed)
9,-5,165.0,M+S (changed)
9,-4,170.0,M+S (changed)
9,-3,160.0,M+S (changed)
9,-2,155.0,M+S (changed)
9,-1,210.0,M+S (changed)
9,0,430.0,M+S (changed)
9,1,245.0,M+S (changed)
9,2,300.0,M+S (changed)
9,3,295.0,M+S (changed)
9,4,225.0,M+S (changed)
10,-5,340.0,M+S (changed)
10,-4,430.0,M+S (changed)
10,-3,340.0,M+S (changed)
10,-2,535.0,M+S (changed)
10,-1,480.0,M+S (changed)
10,0,490.0,M+S (changed)
10,1,575.0,M+S (changed)
10,2,480.0,M+S (changed)
10,3,690.0,M+S (changed)
10,4,385.0,M+S (changed)
11,-5,245.0,M+S (changed)
11,-4,292.5,M+S (changed)
11,-3,242.5,M+S (changed)
11,-2,280.0,M+S (changed)
11,-1,250.0,M+S (changed)
11,0,350.0,M+S (changed)
11,1,265.0,M+S (changed)
11,2,300.0,M+S (changed)
11,3,275.0,M+S (changed)
11,4,210.0,M+S (changed)
12,-5,325.0,M+S (changed)
12,-4,347.5,M+S (changed)
12,-3,322.5,M+S (changed)
12,-2,347.5,M+S (changed)
12,-1,340.0,M+S (changed)
12,0,375.0,M+S (changed)
12,1,360.0,M+S (changed)
12,2,360.0,M+S (changed)
12,3,365.0,M+S (changed)
12,4,310.0,M+S (changed)
